,chapter,comments,date
0,1,80,06/13/2015
1,2,44,06/13/2015
2,3,43,06/13/2015
4,5,32,06/13/2015
5,6,34,06/13/2015
6,7,42,06/13/2015
8,9,23,06/13/2015
9,10,21,06/13/2015
10,11,53,06/13/2015
11,12,43,06/13/2015
12,13,81,06/13/2015
13,14,27,06/13/2015
14,15,27,06/13/2015
15,16,32,06/13/2015
16,17,28,06/13/2015
17,18,24,06/13/2015
18,19,24,06/13/2015
19,20,33,06/13/2015
20,21,25,06/13/2015
21,22,28,06/13/2015
23,24,21,06/13/2015
24,25,22,06/13/2015
25,26,24,06/13/2015
26,27,18,06/13/2015
27,28,44,06/13/2015
28,29,27,06/13/2015
29,30,33,06/13/2015
30,31,29,06/13/2015
31,32,39,06/13/2015
32,33,33,06/13/2015
33,34,111,06/13/2015
34,35,34,06/13/2015
35,36,58,06/13/2015
36,37,34,06/13/2015
37,38,62,06/13/2015
38,39,29,06/13/2015
39,40,25,06/13/2015
40,41,43,06/13/2015
41,42,27,06/13/2015
42,43,53,06/13/2015
43,44,44,06/13/2015
44,45,43,06/13/2015
45,46,38,06/13/2015
46,47,23,06/13/2015
47,48,30,06/13/2015
48,49,17,06/13/2015
49,50,20,06/13/2015
50,51,15,06/13/2015
51,52,33,06/13/2015
52,53,22,06/13/2015
53,54,62,06/13/2015
54,55,59,06/13/2015
55,56,34,06/13/2015
56,57,31,06/13/2015
57,58,45,06/13/2015
58,59,30,06/13/2015
59,60,30,06/13/2015
60,61,35,06/13/2015
61,62,48,06/13/2015
62,63,46,06/13/2015
63,64,36,06/13/2015
64,65,25,06/13/2015
65,66,31,06/13/2015
66,67,49,06/13/2015
67,68,24,06/13/2015
68,69,28,06/13/2015
69,70,28,06/13/2015
70,71,18,06/13/2015
71,72,24,06/13/2015
72,73,82,06/14/2015
73,74,88,06/14/2015
74,75,71,06/15/2015
75,76,60,06/16/2015
76,77,113,06/17/2015
77,78,77,06/18/2015
78,79,65,06/20/2015
79,80,54,06/21/2015
80,81,75,06/21/2015
81,82,101,06/22/2015
82,83,65,06/23/2015
83,84,103,06/24/2015
84,85,60,06/24/2015
85,86,76,06/24/2015
86,87,57,06/24/2015
87,88,94,06/24/2015
88,89,65,06/30/2015
89,90,95,07/02/2015
90,91,122,06/30/2015
91,92,71,07/05/2015
92,93,61,07/06/2015
93,94,132,07/08/2015
94,95,74,07/04/2015
95,96,94,07/08/2015
96,97,54,07/11/2015
97,98,72,07/12/2015
98,99,89,07/12/2015
99,100,100,07/12/2015
100,101,54,07/12/2015
101,102,69,07/12/2015
102,103,44,07/12/2015
103,104,50,07/12/2015
104,105,49,07/12/2015
105,106,50,07/12/2015
106,107,59,07/12/2015
107,108,67,07/19/2015
108,109,49,07/23/2015
109,110,64,07/24/2015
110,111,122,07/25/2015
111,112,75,07/26/2015
112,113,71,07/27/2015
113,114,79,07/29/2015
114,115,96,07/30/2015
115,116,83,07/31/2015
116,117,65,08/01/2015
117,118,190,08/02/2015
118,119,73,08/04/2015
119,120,113,08/05/2015
120,121,102,08/05/2015
121,122,96,08/06/2015
122,123,113,08/06/2015
123,124,77,08/08/2015
124,125,104,08/09/2015
125,126,92,08/10/2015
126,127,56,08/11/2015
127,128,107,08/13/2015
128,129,97,08/13/2015
129,130,88,08/14/2015
130,131,72,08/15/2015
131,132,83,08/15/2015
132,133,76,08/17/2015
133,134,108,08/18/2015
134,135,98,08/19/2015
135,136,75,08/21/2015
136,137,37,08/22/2015
137,138,41,08/24/2015
138,139,132,08/24/2015
139,140,35,08/24/2015
140,141,56,08/26/2015
141,142,65,08/26/2015
142,143,64,08/26/2015
143,144,102,08/27/2015
144,145,92,08/28/2015
145,146,72,08/31/2015
146,147,73,09/02/2015
147,148,131,09/04/2015
148,149,47,09/05/2015
149,150,42,09/09/2015
150,151,84,09/09/2015
151,152,85,09/08/2015
152,153,92,09/11/2015
153,154,61,09/12/2015
154,155,73,09/13/2015
155,156,95,09/16/2015
156,157,177,09/18/2015
157,158,75,09/19/2015
158,159,103,09/20/2015
159,160,92,09/20/2015
160,161,76,09/22/2015
161,162,67,09/22/2015
162,163,65,09/23/2015
163,164,44,09/23/2015
164,165,82,09/25/2015
165,166,55,09/25/2015
166,167,129,09/25/2015
167,168,138,09/25/2015
168,169,97,09/25/2015
169,170,71,09/26/2015
170,171,94,09/27/2015
171,172,115,09/28/2015
172,173,107,09/28/2015
173,174,77,09/29/2015
174,175,43,09/29/2015
175,176,65,09/30/2015
176,177,68,09/30/2015
177,178,92,10/01/2015
178,179,81,10/01/2015
179,180,98,10/03/2015
180,181,71,10/03/2015
181,182,91,10/03/2015
182,183,62,10/04/2015
183,184,125,10/04/2015
184,185,131,10/05/2015
185,186,98,10/05/2015
186,187,196,10/06/2015
187,188,111,10/07/2015
188,189,91,10/07/2015
189,190,52,10/09/2015
190,191,55,10/10/2015
191,192,265,10/10/2015
192,193,114,10/10/2015
193,194,71,10/11/2015
194,195,74,10/11/2015
195,196,94,10/12/2015
196,197,117,10/12/2015
197,198,175,10/13/2015
198,199,85,10/14/2015
199,200,148,10/15/2015
200,201,90,10/15/2015
201,202,46,10/17/2015
203,204,93,10/18/2015
204,205,79,10/18/2015
205,206,176,10/19/2015
206,207,142,10/19/2015
207,208,129,10/20/2015
208,209,46,10/21/2015
209,210,145,10/21/2015
210,211,154,10/21/2015
211,212,174,10/22/2015
212,213,107,10/23/2015
213,214,156,10/24/2015
214,215,94,10/25/2015
215,216,89,10/25/2015
216,217,65,10/25/2015
217,218,142,10/26/2015
218,219,158,10/26/2015
219,220,162,10/27/2015
220,221,76,10/28/2015
221,222,183,10/28/2015
222,223,92,10/29/2015
223,224,75,10/29/2015
224,225,108,10/31/2015
225,226,103,11/01/2015
226,227,134,11/03/2015
227,228,121,11/03/2015
228,229,125,11/03/2015
229,230,128,11/03/2015
230,231,113,11/05/2015
231,232,129,11/05/2015
232,233,66,11/07/2015
233,234,69,11/08/2015
234,235,144,11/08/2015
235,236,98,11/09/2015
236,237,108,11/10/2015
237,238,145,11/12/2015
238,239,152,11/13/2015
239,240,134,11/13/2015
240,241,92,11/15/2015
241,242,157,11/16/2015
242,243,123,11/17/2015
243,244,135,11/17/2015
244,245,154,11/18/2015
245,246,133,11/19/2015
246,247,157,11/19/2015
247,248,53,11/20/2015
248,249,119,11/21/2015
249,250,94,11/21/2015
250,251,74,11/21/2015
251,252,106,11/24/2015
252,253,67,11/25/2015
253,254,89,11/24/2015
254,255,66,11/26/2015
255,256,86,11/28/2015
256,257,191,11/28/2015
257,258,199,11/29/2015
258,259,131,11/29/2015
259,260,152,12/01/2015
260,261,107,12/01/2015
261,262,101,12/02/2015
262,263,141,12/03/2015
263,264,134,12/03/2015
264,265,83,12/04/2015
265,266,109,12/04/2015
266,267,142,12/05/2015
267,268,122,12/05/2015
268,269,249,12/06/2015
269,270,139,12/06/2015
270,271,103,12/07/2015
271,272,146,12/08/2015
272,273,133,12/09/2015
273,274,90,12/10/2015
274,275,95,12/10/2015
275,276,96,12/12/2015
276,277,85,12/13/2015
277,278,210,12/13/2015
278,279,169,12/14/2015
279,280,234,12/15/2015
280,281,408,12/15/2015
281,282,246,12/15/2015
282,283,117,12/17/2015
283,284,179,12/18/2015
284,285,96,12/18/2015
285,286,211,12/20/2015
286,287,95,12/20/2015
287,288,85,12/21/2015
288,289,86,12/21/2015
289,290,126,12/21/2015
290,291,148,12/22/2015
291,292,103,12/22/2015
292,293,144,12/24/2015
293,294,158,12/24/2015
294,295,186,12/24/2015
295,296,124,12/25/2015
296,297,136,12/25/2015
297,298,149,12/25/2015
298,299,102,12/26/2015
299,300,126,12/27/2015
300,301,147,12/27/2015
301,302,171,12/28/2015
302,303,129,12/28/2015
303,304,119,12/28/2015
304,305,102,12/28/2015
305,306,125,12/29/2015
306,307,124,12/30/2015
307,308,99,01/01/2016
308,309,146,12/31/2015
309,310,107,12/31/2015
311,312,83,01/01/2016
312,313,69,01/02/2016
313,314,78,01/02/2016
314,315,144,01/03/2016
315,316,109,01/03/2016
316,317,116,01/03/2016
317,318,175,01/05/2016
318,319,84,01/05/2016
319,320,215,01/05/2016
320,321,189,01/06/2016
321,322,182,01/06/2016
322,323,110,01/06/2016
