chapter,comments,date
1,81,10/16/2017
2,57,10/16/2017
3,34,10/16/2017
4,0,10/16/2017
5,31,10/16/2017
6,51,10/16/2017
7,50,10/16/2017
8,25,10/16/2017
9,41,10/16/2017
10,38,10/16/2017
11,44,10/16/2017
12,36,10/17/2017
13,37,10/17/2017
14,38,10/18/2017
15,40,10/18/2017
16,26,10/19/2017
17,21,10/19/2017
18,0,10/19/2017
19,32,10/19/2017
20,31,10/19/2017
21,24,10/19/2017
22,39,10/19/2017
23,44,10/20/2017
24,37,10/20/2017
25,36,10/21/2017
26,40,10/21/2017
27,22,10/22/2017
28,53,10/22/2017
29,28,10/23/2017
30,30,10/23/2017
31,32,10/24/2017
32,35,10/24/2017
33,46,10/24/2017
34,45,10/25/2017
35,53,10/25/2017
36,25,10/25/2017
37,30,10/26/2017
38,54,10/26/2017
39,39,10/26/2017
40,50,10/26/2017
41,59,10/27/2017
42,34,10/27/2017
43,26,10/27/2017
44,48,10/28/2017
45,21,10/28/2017
46,29,10/28/2017
47,44,10/28/2017
48,35,10/28/2017
49,39,10/30/2017
50,42,10/30/2017
51,41,10/30/2017
52,37,10/31/2017
53,18,10/31/2017
54,25,10/31/2017
55,18,11/01/2017
56,39,11/01/2017
57,29,11/01/2017
58,32,11/01/2017
59,27,11/02/2017
60,45,11/02/2017
61,29,11/03/2017
62,0,11/03/2017
63,46,11/03/2017
64,38,11/04/2017
65,44,11/04/2017
66,37,11/04/2017
67,23,11/05/2017
68,32,11/05/2017
69,29,11/05/2017
70,42,11/05/2017
71,23,11/07/2017
72,36,11/07/2017
73,44,11/07/2017
74,16,11/08/2017
75,24,11/08/2017
76,37,11/08/2017
77,28,11/15/2017
78,39,11/15/2017
79,30,11/15/2017
80,36,11/15/2017
81,21,11/15/2017
82,22,11/15/2017
83,27,11/15/2017
84,21,11/15/2017
85,22,11/15/2017
86,15,11/15/2017
87,12,11/15/2017
88,13,11/15/2017
89,12,11/15/2017
90,28,11/15/2017
91,29,11/15/2017
92,23,11/15/2017
93,30,11/15/2017
94,37,11/15/2017
95,65,11/15/2017
96,30,11/15/2017
97,35,11/15/2017
98,28,11/16/2017
99,22,11/16/2017
100,0,11/16/2017
101,31,11/17/2017
102,36,11/17/2017
103,53,11/17/2017
104,22,11/18/2017
105,34,11/18/2017
106,74,11/18/2017
107,55,11/19/2017
108,65,11/19/2017
109,41,11/20/2017
110,39,11/20/2017
111,46,11/20/2017
112,0,11/21/2017
113,21,11/21/2017
114,38,11/21/2017
115,27,11/22/2017
116,0,11/22/2017
117,54,11/22/2017
118,25,11/23/2017
119,29,11/23/2017
120,25,11/23/2017
121,25,11/24/2017
122,36,11/24/2017
123,29,11/24/2017
124,31,11/25/2017
125,33,11/25/2017
126,43,11/25/2017
127,43,11/26/2017
128,50,11/26/2017
129,22,11/27/2017
130,31,11/27/2017
131,53,11/27/2017
132,35,11/28/2017
133,24,11/28/2017
134,39,11/28/2017
135,17,11/29/2017
136,32,11/29/2017
137,22,11/29/2017
138,102,11/29/2017
139,44,11/29/2017
140,33,11/29/2017
141,32,12/01/2017
142,22,12/01/2017
143,38,12/01/2017
144,26,12/02/2017
145,26,12/02/2017
146,0,12/02/2017
147,40,12/03/2017
148,39,12/03/2017
149,23,12/04/2017
150,25,12/04/2017
151,37,12/04/2017
152,19,12/05/2017
153,29,12/05/2017
154,0,12/05/2017
155,26,12/06/2017
156,28,12/06/2017
157,37,12/06/2017
158,23,12/07/2017
159,30,12/07/2017
160,19,12/07/2017
161,25,12/07/2017
162,14,12/07/2017
163,29,12/07/2017
164,27,12/07/2017
165,36,12/07/2017
166,23,12/09/2017
167,26,12/09/2017
168,59,12/09/2017
169,25,12/09/2017
170,21,12/09/2017
171,34,12/09/2017
172,37,12/10/2017
173,49,12/10/2017
174,35,12/11/2017
175,36,12/11/2017
176,51,12/11/2017
177,36,12/12/2017
178,36,12/12/2017
179,60,12/12/2017
180,33,12/13/2017
181,42,12/13/2017
182,65,12/13/2017
183,24,12/14/2017
184,41,12/14/2017
185,28,12/14/2017
186,25,12/15/2017
187,27,12/15/2017
188,17,12/15/2017
189,23,12/15/2017
190,26,12/15/2017
191,44,12/15/2017
192,42,12/17/2017
193,49,12/17/2017
194,28,12/18/2017
195,30,12/18/2017
196,34,12/18/2017
197,22,12/19/2017
198,0,12/19/2017
199,34,12/19/2017
200,35,12/19/2017
201,17,12/19/2017
202,39,12/19/2017
203,23,12/19/2017
204,23,12/19/2017
205,62,12/19/2017
206,30,12/20/2017
207,0,12/20/2017
208,18,12/20/2017
209,25,12/20/2017
210,23,12/20/2017
211,22,12/20/2017
212,20,12/20/2017
213,35,12/20/2017
214,42,12/26/2017
215,44,12/26/2017
216,25,12/26/2017
217,28,12/26/2017
218,33,12/26/2017
219,38,12/26/2017
220,24,12/27/2017
221,32,12/27/2017
222,0,12/27/2017
223,23,12/28/2017
224,35,12/28/2017
225,28,12/28/2017
226,19,12/29/2017
227,24,12/29/2017
228,28,12/29/2017
229,20,12/30/2017
230,26,12/30/2017
231,29,12/30/2017
232,37,12/31/2017
233,39,12/31/2017
234,22,01/01/2018
235,48,01/01/2018
236,42,01/01/2018
237,30,01/02/2018
238,36,01/02/2018
239,38,01/02/2018
240,18,01/04/2018
241,22,01/04/2018
242,41,01/04/2018
243,33,01/04/2018
244,28,01/04/2018
245,29,01/04/2018
246,44,01/05/2018
247,35,01/05/2018
248,43,01/05/2018
249,63,01/07/2018
250,49,01/07/2018
251,40,01/07/2018
252,36,01/07/2018
253,55,01/07/2018
254,17,01/08/2018
255,26,01/08/2018
256,42,01/08/2018
257,23,01/09/2018
258,38,01/09/2018
259,31,01/09/2018
260,24,01/10/2018
261,35,01/10/2018
262,60,01/10/2018
263,29,01/11/2018
264,35,01/11/2018
265,34,01/11/2018
