chapter,comments,date
1,95,01/17/2016
2,0,01/17/2016
3,0,01/17/2016
4,0,01/17/2016
5,21,01/17/2016
6,14,01/17/2016
7,0,01/17/2016
8,18,01/17/2016
9,25,01/17/2016
10,0,01/17/2016
11,0,01/17/2016
12,13,01/17/2016
13,18,01/17/2016
14,0,01/17/2016
15,0,01/17/2016
16,0,01/17/2016
17,23,01/17/2016
18,20,01/17/2016
19,0,01/17/2016
20,0,01/17/2016
21,0,01/17/2016
22,0,01/17/2016
23,0,01/17/2016
24,19,01/17/2016
25,18,01/17/2016
26,0,01/17/2016
27,9,01/17/2016
28,0,01/17/2016
29,0,01/17/2016
30,0,01/17/2016
31,0,01/17/2016
32,0,01/17/2016
33,14,01/17/2016
34,0,01/17/2016
35,14,01/17/2016
36,12,01/17/2016
37,0,01/17/2016
38,15,01/17/2016
39,0,01/17/2016
40,0,01/17/2016
41,0,01/17/2016
42,13,01/17/2016
43,21,01/17/2016
44,0,01/17/2016
45,0,01/17/2016
46,0,01/17/2016
47,0,01/17/2016
48,0,01/17/2016
49,0,01/17/2016
50,0,01/17/2016
51,13,01/17/2016
52,0,01/17/2016
53,0,01/17/2016
54,0,01/19/2016
55,25,01/20/2016
56,0,01/21/2016
57,0,01/22/2016
58,0,01/22/2016
59,0,01/23/2016
60,0,01/26/2016
61,0,01/27/2016
62,0,01/28/2016
63,21,01/28/2016
64,0,01/29/2016
65,0,01/29/2016
66,0,01/30/2016
67,0,02/02/2016
68,0,02/03/2016
69,0,02/04/2016
70,0,02/05/2016
71,22,02/06/2016
72,0,02/09/2016
73,0,02/10/2016
74,0,02/12/2016
75,19,02/12/2016
76,0,02/13/2016
77,0,02/16/2016
78,0,02/19/2016
79,18,02/19/2016
80,0,02/20/2016
81,0,02/23/2016
82,0,03/03/2016
83,16,03/03/2016
84,0,03/05/2016
85,0,03/05/2016
86,17,03/15/2016
87,0,03/27/2016
88,0,03/27/2016
89,0,04/08/2016
90,0,04/08/2016
91,0,04/09/2016
92,0,04/15/2016
93,0,04/15/2016
94,0,04/17/2016
95,0,05/18/2016
96,0,05/18/2016
97,0,05/19/2016
98,0,05/19/2016
99,15,05/20/2016
100,0,05/20/2016
101,0,05/21/2016
102,0,05/24/2016
103,0,05/24/2016
104,0,05/25/2016
105,25,05/25/2016
106,16,05/27/2016
107,0,05/31/2016
108,0,06/01/2016
109,0,06/01/2016
110,0,06/02/2016
111,0,06/02/2016
112,11,06/03/2016
113,0,06/03/2016
114,0,06/04/2016
115,0,06/04/2016
116,0,06/07/2016
117,0,06/07/2016
118,0,06/08/2016
119,0,06/08/2016
120,26,06/09/2016
121,0,06/09/2016
122,22,06/10/2016
123,0,06/11/2016
124,0,06/11/2016
125,0,06/14/2016
126,0,06/14/2016
127,0,06/15/2016
128,0,06/17/2016
129,0,07/09/2016
130,0,08/01/2016
131,0,08/02/2016
132,8,08/04/2016
133,0,08/05/2016
134,0,08/12/2016
135,0,08/13/2016
136,0,08/14/2016
137,0,08/17/2016
138,0,08/18/2016
139,24,08/23/2016
140,0,09/09/2016
141,19,09/09/2016
142,0,09/26/2016
143,0,09/27/2016
144,0,09/28/2016
145,0,09/29/2016
146,0,09/30/2016
147,18,10/01/2016
148,0,10/02/2016
149,0,10/07/2016
150,0,10/07/2016
151,0,10/25/2016
152,0,10/30/2016
153,0,11/09/2016
154,14,11/25/2016
155,0,11/26/2016
156,0,11/27/2016
157,15,12/16/2016
158,0,12/22/2016
159,0,12/22/2016
160,0,12/27/2016
161,0,12/29/2016
162,0,12/30/2016
163,17,12/30/2016
164,0,12/31/2016
165,0,12/31/2016
166,0,12/31/2016
167,0,01/01/2017
168,0,01/06/2017
169,0,01/06/2017
170,11,01/16/2017
171,0,01/16/2017
172,0,01/16/2017
173,17,01/16/2017
174,0,01/16/2017
175,0,01/16/2017
176,14,01/17/2017
177,0,01/17/2017
178,0,01/17/2017
179,0,01/17/2017
180,0,01/17/2017
181,0,01/17/2017
182,0,01/17/2017
183,0,01/17/2017
184,0,01/17/2017
185,0,01/17/2017
186,0,01/18/2017
187,0,01/18/2017
188,0,01/18/2017
189,12,01/18/2017
190,0,01/18/2017
191,0,01/18/2017
192,0,01/18/2017
193,0,01/18/2017
194,0,01/18/2017
195,8,01/18/2017
196,10,01/18/2017
197,0,01/18/2017
198,0,01/18/2017
199,0,01/18/2017
200,0,01/18/2017
201,0,01/18/2017
202,0,01/18/2017
203,0,01/18/2017
204,10,01/18/2017
205,0,01/18/2017
206,0,01/18/2017
207,22,01/18/2017
208,0,01/18/2017
209,0,01/18/2017
210,0,01/18/2017
211,0,01/18/2017
212,0,01/18/2017
213,0,01/18/2017
214,0,01/18/2017
215,0,01/18/2017
216,0,01/18/2017
217,0,01/18/2017
218,0,01/18/2017
219,0,01/18/2017
220,0,01/18/2017
221,24,01/18/2017
222,0,01/18/2017
223,0,01/18/2017
224,20,01/18/2017
225,0,01/18/2017
226,0,01/18/2017
227,0,01/18/2017
228,15,01/18/2017
229,0,01/18/2017
230,24,01/18/2017
231,15,01/18/2017
232,15,01/18/2017
233,0,01/18/2017
234,0,01/18/2017
235,0,01/18/2017
236,0,01/18/2017
237,16,01/18/2017
238,0,01/18/2017
239,0,01/18/2017
240,0,01/18/2017
241,0,01/18/2017
242,0,01/18/2017
243,0,01/18/2017
244,19,01/18/2017
245,0,01/18/2017
246,0,01/18/2017
247,0,01/18/2017
248,0,01/18/2017
249,0,01/18/2017
250,0,01/18/2017
251,0,01/18/2017
252,0,01/18/2017
253,9,01/18/2017
254,0,01/18/2017
255,0,01/18/2017
256,0,01/18/2017
257,0,01/18/2017
258,0,01/18/2017
259,0,01/18/2017
260,0,01/18/2017
261,8,01/18/2017
262,0,01/18/2017
263,0,01/18/2017
264,0,01/18/2017
265,0,01/18/2017
266,0,01/18/2017
267,0,01/18/2017
268,0,01/18/2017
269,9,01/18/2017
270,0,01/18/2017
271,9,01/18/2017
272,45,01/18/2017
273,0,01/18/2017
274,0,01/18/2017
275,0,01/18/2017
276,0,01/18/2017
277,0,01/18/2017
278,0,01/18/2017
279,0,01/18/2017
280,0,01/18/2017
281,0,01/18/2017
282,0,01/18/2017
283,0,01/18/2017
284,29,01/18/2017
285,14,01/18/2017
286,0,01/18/2017
287,0,01/18/2017
288,14,01/18/2017
289,19,01/18/2017
290,0,01/18/2017
291,0,01/18/2017
292,36,01/18/2017
293,0,01/18/2017
294,0,01/18/2017
295,0,01/18/2017
296,0,01/18/2017
297,0,01/18/2017
298,0,01/18/2017
299,0,01/18/2017
300,0,01/18/2017
301,0,01/18/2017
302,10,01/18/2017
303,0,01/18/2017
304,0,01/18/2017
305,13,01/18/2017
306,0,01/18/2017
307,0,01/18/2017
308,20,01/18/2017
309,0,01/18/2017
310,0,01/18/2017
311,0,01/18/2017
312,0,01/18/2017
313,0,01/18/2017
314,0,01/18/2017
315,15,01/18/2017
316,0,01/18/2017
