chapter,comments,date
1,55,09/09/2016
2,59,09/09/2016
3,25,09/09/2016
4,20,09/09/2016
5,27,09/09/2016
6,30,09/09/2016
7,0,09/09/2016
8,15,09/09/2016
9,12,09/09/2016
10,17,09/09/2016
11,43,09/10/2016
12,14,09/10/2016
13,27,09/10/2016
14,18,09/10/2016
15,0,09/11/2016
16,13,09/10/2016
17,11,09/10/2016
18,12,09/10/2016
19,26,09/11/2016
20,20,09/10/2016
21,17,09/10/2016
22,10,09/10/2016
23,17,09/10/2016
24,25,09/10/2016
25,14,09/10/2016
26,11,09/10/2016
27,18,09/10/2016
28,20,09/10/2016
29,20,09/10/2016
30,24,09/10/2016
31,17,09/10/2016
32,26,09/10/2016
33,21,09/10/2016
34,12,09/10/2016
35,14,09/10/2016
36,10,09/10/2016
37,17,09/10/2016
38,25,09/10/2016
39,20,09/10/2016
40,0,09/11/2016
41,21,09/10/2016
42,14,09/10/2016
43,12,09/10/2016
44,8,09/10/2016
45,0,09/10/2016
46,0,09/10/2016
47,0,09/10/2016
48,0,09/10/2016
49,8,09/10/2016
50,0,09/10/2016
51,0,09/10/2016
52,0,09/10/2016
53,21,09/10/2016
54,13,09/10/2016
55,10,09/10/2016
56,10,09/10/2016
57,6,09/10/2016
58,18,09/10/2016
59,21,09/10/2016
60,10,09/10/2016
61,8,09/10/2016
62,26,09/10/2016
63,26,09/10/2016
64,0,09/12/2016
65,0,09/12/2016
66,17,09/19/2016
67,36,09/20/2016
68,31,09/21/2016
69,36,09/23/2016
70,22,09/24/2016
71,27,09/24/2016
72,21,09/25/2016
73,21,09/27/2016
74,41,09/29/2016
75,45,09/29/2016
76,24,10/01/2016
77,20,10/01/2016
78,44,10/03/2016
79,26,10/05/2016
80,24,10/08/2016
81,20,10/10/2016
82,32,10/10/2016
83,19,10/10/2016
84,25,10/14/2016
85,15,10/16/2016
86,25,10/16/2016
87,26,10/16/2016
88,27,10/21/2016
89,0,10/24/2016
90,27,10/26/2016
91,28,10/27/2016
92,0,10/28/2016
93,16,10/30/2016
94,23,11/02/2016
95,0,11/04/2016
96,20,11/05/2016
97,26,11/07/2016
98,20,11/08/2016
99,20,11/10/2016
100,53,11/11/2016
101,22,11/12/2016
102,28,11/13/2016
103,42,11/13/2016
104,25,11/13/2016
105,43,11/13/2016
106,42,11/13/2016
107,26,11/13/2016
108,21,11/13/2016
109,19,11/13/2016
110,39,11/13/2016
111,29,11/13/2016
112,25,11/13/2016
113,53,11/13/2016
114,33,11/13/2016
115,37,11/13/2016
116,36,11/13/2016
117,32,11/13/2016
118,26,11/13/2016
119,29,11/13/2016
120,24,11/13/2016
