chapter,comments,date
1,53,09/07/2017
2,29,09/10/2017
3,20,09/10/2017
4,0,09/10/2017
5,40,09/10/2017
6,34,09/10/2017
7,0,09/10/2017
8,24,09/10/2017
9,30,09/10/2017
10,0,09/10/2017
11,19,09/10/2017
12,20,09/10/2017
13,22,09/10/2017
14-,17,09/10/2017
15-,17,09/10/2017
16,16,09/10/2017
17,0,09/10/2017
18,21,09/10/2017
19,15,09/10/2017
20,12,09/10/2017
21,12,09/10/2017
22,14,09/10/2017
23,23,09/10/2017
24,12,09/10/2017
25,0,09/10/2017
26,23,09/10/2017
27,15,09/10/2017
28,24,09/10/2017
29,0,09/10/2017
30,16,09/10/2017
31,20,09/10/2017
32,20,09/10/2017
33,17,09/10/2017
34,17,09/10/2017
35,16,09/10/2017
36,20,09/10/2017
37,19,09/10/2017
38,15,09/10/2017
39,11,09/10/2017
40,12,09/10/2017
41,0,09/10/2017
42,15,09/10/2017
43,12,09/10/2017
44,21,09/10/2017
45,0,09/11/2017
46,36,09/12/2017
47,19,09/13/2017
48,37,09/11/2017
49,25,09/15/2017
50,0,09/16/2017
51,0,09/17/2017
52,25,09/18/2017
53,0,09/19/2017
54,23,09/20/2017
55,25,09/21/2017
56,34,09/22/2017
57,47,09/23/2017
58,28,09/24/2017
59,37,09/25/2017
60,29,09/26/2017
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
