chapter,comments,date
1,113,06/08/2016
2,36,06/08/2016
3,42,06/08/2016
4,0,06/08/2016
5,35,06/08/2016
6,0,06/08/2016
7,0,06/08/2016
8,34,06/08/2016
9,30,06/08/2016
10,26,06/08/2016
11,21,06/08/2016
12,33,06/08/2016
13,15,06/08/2016
14,18,06/08/2016
15,49,06/08/2016
16,40,06/08/2016
17,21,06/08/2016
18,27,06/08/2016
19,16,06/08/2016
20,23,06/08/2016
21,38,06/09/2016
22,25,06/09/2016
23,27,06/09/2016
24,15,06/09/2016
25,20,06/09/2016
26,19,06/09/2016
27,37,06/09/2016
28,0,06/09/2016
29,20,06/09/2016
30,24,06/09/2016
31,0,06/09/2016
32,21,06/09/2016
33,15,06/09/2016
34,20,06/09/2016
35,18,06/09/2016
36,35,06/09/2016
37,29,06/09/2016
38,27,06/09/2016
39,24,06/09/2016
40,37,06/09/2016
41,26,06/09/2016
42,18,06/09/2016
43,26,06/09/2016
44,17,06/09/2016
45,21,06/09/2016
46,25,06/09/2016
47,18,06/09/2016
48,64,06/09/2016
49,17,06/09/2016
50,33,06/09/2016
51,22,06/09/2016
52,46,06/09/2016
53,56,06/09/2016
54,69,06/09/2016
55,0,06/09/2016
56,0,06/09/2016
57,28,06/09/2016
58,0,06/09/2016
59,16,06/09/2016
60,22,06/09/2016
61,15,06/09/2016
62,24,06/09/2016
63,17,06/09/2016
64,17,06/09/2016
65,17,06/09/2016
66,0,06/09/2016
67,20,06/09/2016
68,24,06/09/2016
69,17,06/09/2016
70,25,06/09/2016
71,18,06/09/2016
72,33,06/09/2016
73,0,06/09/2016
74,18,06/09/2016
75,26,06/09/2016
76,35,06/09/2016
77,0,06/09/2016
78,22,06/09/2016
79,39,06/09/2016
80,17,06/09/2016
81,17,06/09/2016
82,36,06/09/2016
83,32,06/09/2016
84,19,06/09/2016
85,37,06/09/2016
86,30,06/09/2016
87,78,06/09/2016
88,34,06/09/2016
89,20,06/09/2016
90,23,06/09/2016
91,20,06/09/2016
92,26,06/09/2016
93,28,06/09/2016
94,62,06/09/2016
95,0,06/09/2016
96,39,06/09/2016
97,24,06/09/2016
98,37,06/09/2016
99,45,06/09/2016
100,24,06/09/2016
101,32,06/09/2016
102,27,06/09/2016
103,31,06/09/2016
104,31,06/09/2016
105,18,06/09/2016
106,16,06/09/2016
107,26,06/09/2016
108,25,06/09/2016
109,15,06/09/2016
110,28,06/09/2016
111,22,06/09/2016
112,0,06/09/2016
113,0,06/09/2016
114,23,06/09/2016
115,25,06/09/2016
116,30,06/09/2016
117,29,06/09/2016
118,24,06/09/2016
119,26,06/09/2016
120,30,06/09/2016
121,47,06/09/2016
122,26,06/09/2016
123,28,06/09/2016
124,32,06/09/2016
125,26,06/09/2016
126,50,06/09/2016
127,20,06/09/2016
128,0,06/09/2016
129,43,06/09/2016
130,45,06/09/2016
131,0,06/09/2016
132,0,06/09/2016
133,32,06/09/2016
134,34,06/09/2016
135,41,06/09/2016
136,29,06/09/2016
137,24,06/09/2016
138,19,06/09/2016
139,51,06/10/2016
140,37,06/13/2016
141,39,06/13/2016
142,30,06/15/2016
143,38,06/16/2016
144,44,06/17/2016
145,46,06/17/2016
146,39,06/19/2016
147,51,06/20/2016
148,64,06/21/2016
149,43,06/22/2016
150,35,06/22/2016
151,42,06/23/2016
152,50,06/24/2016
153,39,06/24/2016
154,33,06/25/2016
155,39,06/25/2016
156,50,06/26/2016
157,47,06/26/2016
158,43,06/27/2016
159,46,06/27/2016
160,37,06/28/2016
161,47,06/28/2016
162,39,06/29/2016
163,47,06/29/2016
164,42,07/01/2016
165,34,07/02/2016
166,0,07/02/2016
167,44,07/03/2016
168,55,07/03/2016
169,0,07/03/2016
170,50,07/03/2016
171,63,07/03/2016
172,0,07/04/2016
173,31,07/04/2016
174,42,07/04/2016
175,0,07/04/2016
176,30,07/05/2016
177,38,07/05/2016
178,27,07/05/2016
179,37,07/06/2016
180,27,07/07/2016
181,0,07/07/2016
182,37,07/08/2016
183,32,07/10/2016
184,49,07/11/2016
185,44,07/11/2016
186,31,07/12/2016
187,28,07/13/2016
188,34,07/13/2016
189,41,07/14/2016
190,42,07/15/2016
191,24,07/15/2016
192,24,07/16/2016
193,25,07/17/2016
194,37,07/18/2016
195,33,07/18/2016
196,65,07/19/2016
197,45,07/20/2016
198,42,07/21/2016
199,51,07/21/2016
200,28,07/23/2016
201,58,07/23/2016
202,0,07/23/2016
203,53,07/24/2016
204,0,07/24/2016
205,0,07/25/2016
206,45,07/26/2016
207,52,07/28/2016
208,28,07/29/2016
209,40,07/30/2016
210,34,07/31/2016
211,51,07/31/2016
212,30,08/01/2016
213,54,08/03/2016
214,29,08/03/2016
215,44,08/05/2016
216,49,08/06/2016
217,37,08/07/2016
218,50,08/09/2016
219,39,08/11/2016
220,49,08/12/2016
221,47,08/13/2016
222,0,08/13/2016
223,27,08/14/2016
224,34,08/15/2016
225,42,08/16/2016
226,44,08/17/2016
227,29,08/18/2016
228,36,08/19/2016
229,37,08/20/2016
230,57,08/22/2016
231,56,08/23/2016
232,36,08/24/2016
233,34,08/27/2016
234,47,08/27/2016
235,42,08/28/2016
236,27,08/29/2016
237,36,08/29/2016
238,22,08/31/2016
239,36,08/31/2016
240,32,09/02/2016
241,29,09/03/2016
242,40,09/03/2016
243,0,09/04/2016
244,40,09/06/2016
245,0,09/07/2016
246,51,09/07/2016
247,32,09/10/2016
248,47,09/10/2016
249,39,09/14/2016
250,28,09/14/2016
251,38,09/14/2016
252,32,09/18/2016
253,38,09/18/2016
254,47,09/20/2016
255,44,09/21/2016
256,49,09/22/2016
257,34,09/23/2016
258,25,09/23/2016
259,43,09/23/2016
260,0,09/26/2016
261,32,09/26/2016
262,27,09/27/2016
263,37,09/27/2016
264,0,10/01/2016
265,40,10/03/2016
266,63,10/03/2016
267,36,10/05/2016
268,78,10/05/2016
269,54,10/09/2016
270,33,10/09/2016
271,25,10/12/2016
272,31,10/12/2016
273,26,10/12/2016
274,0,10/12/2016
275,32,10/16/2016
276,39,10/16/2016
277,24,10/19/2016
278,35,10/19/2016
279,26,10/21/2016
280,31,10/21/2016
281,25,10/22/2016
282,35,10/22/2016
283,40,10/24/2016
284,0,10/27/2016
285,46,10/27/2016
286,36,10/29/2016
287,0,10/31/2016
288,0,10/31/2016
289,35,11/03/2016
290,53,11/03/2016
291,42,11/05/2016
292,0,11/07/2016
293,36,11/07/2016
294,45,11/07/2016
295,44,11/07/2016
296,54,11/09/2016
297,51,11/09/2016
298,46,11/09/2016
299,51,11/09/2016
300,25,11/11/2016
301,26,11/11/2016
302,37,11/11/2016
303,0,11/11/2016
304,55,11/11/2016
305,0,11/14/2016
306,20,11/14/2016
307,42,11/14/2016
308,27,11/15/2016
309,22,11/15/2016
310,39,11/15/2016
311,33,11/17/2016
312,31,11/17/2016
313,34,11/17/2016
314,29,11/19/2016
315,39,11/19/2016
316,0,11/19/2016
317,37,11/22/2016
318,29,11/25/2016
319,26,11/25/2016
320,18,11/30/2016
321,35,11/30/2016
322,42,11/30/2016
323,27,12/04/2016
324,0,12/04/2016
325,33,12/04/2016
326,38,12/06/2016
327,39,12/09/2016
328,0,12/12/2016
329,35,12/14/2016
330,41,12/15/2016
331,52,12/16/2016
332,39,12/19/2016
333,42,12/22/2016
334,0,12/23/2016
